awardYear,simple_category,motivation
1922,Chemistry,"for his discovery, by means of his mass spectrograph, of isotopes, in a large number of non-radioactive elements, and for his enunciation of the whole-number rule"
1922,Literature,for the happy manner in which he has continued the illustrious traditions of the Spanish drama
1922,Peace,"for his leading role in the repatriation of prisoners of war, in international relief work and as the League of Nations' High Commissioner for refugees"
1922,Physics,for his services in the investigation of the structure of atoms and of the radiation emanating from them
1922,Physiology or Medicine,for his discovery relating to the production of heat in the muscle
1922,Physiology or Medicine,for his discovery of the fixed relationship between the consumption of oxygen and the metabolism of lactic acid in the muscle
1923,Chemistry,for his invention of the method of micro-analysis of organic substances
1923,Literature,"for his always inspired poetry, which in a highly artistic form gives expression to the spirit of a whole nation"
1923,Physics,for his work on the elementary charge of electricity and on the photoelectric effect
1923,Physiology or Medicine,for the discovery of insulin
1923,Physiology or Medicine,for the discovery of insulin
1924,Literature,"for his great national epic, <I>The Peasants</I>"
1924,Physics,for his discoveries and research in the field of X-ray spectroscopy
1924,Physiology or Medicine,for his discovery of the mechanism of the electrocardiogram
1925,Chemistry,"for his demonstration of the heterogenous nature of colloid solutions and for the methods he used, which have since become fundamental in modern colloid chemistry"
1925,Literature,"for his work which is marked by both idealism and humanity, its stimulating satire often being infused with a singular poetic beauty"
1925,Peace,for his crucial role in bringing about the Locarno Treaty
1925,Peace,for his crucial role in bringing about the Dawes Plan
1925,Physics,for their discovery of the laws governing the impact of an electron upon an atom
1925,Physics,for their discovery of the laws governing the impact of an electron upon an atom
1926,Chemistry,for his work on disperse systems
1926,Literature,for her idealistically inspired writings which with plastic clarity picture the life on her native island and with depth and sympathy deal with human problems in general
1926,Peace,for their crucial role in bringing about the Locarno Treaty
1926,Peace,for their crucial role in bringing about the Locarno Treaty
1926,Physics,"for his work on the discontinuous structure of matter, and especially for his discovery of sedimentation equilibrium"
1926,Physiology or Medicine,for his discovery of the Spiroptera carcinoma
1927,Chemistry,for his investigations of the constitution of the bile acids and related substances
1927,Literature,in recognition of his rich and vitalizing ideas and the brilliant skill with which they have been presented
1927,Peace,for their contribution to the emergence in France and Germany of a public opinion which favours peaceful international cooperation
1927,Peace,for their contribution to the emergence in France and Germany of a public opinion which favours peaceful international cooperation
1927,Physics,for his discovery of the effect named after him
1927,Physics,for his method of making the paths of electrically charged particles visible by condensation of vapour
1927,Physiology or Medicine,for his discovery of the therapeutic value of malaria inoculation in the treatment of dementia paralytica
1928,Chemistry,for the services rendered through his research into the constitution of the sterols and their connection with the vitamins
1928,Literature,principally for her powerful descriptions of Northern life during the Middle Ages
1928,Physics,for his work on the thermionic phenomenon and especially for the discovery of the law named after him
1928,Physiology or Medicine,for his work on typhus
1929,Chemistry,for their investigations on the fermentation of sugar and fermentative enzymes
1929,Chemistry,for their investigations on the fermentation of sugar and fermentative enzymes
1929,Literature,"principally for his great novel, <I>Buddenbrooks</I>, which has won steadily increased recognition as one of the classic works of contemporary literature"
1929,Peace,for his crucial role in bringing about the Briand-Kellogg Pact
1929,Physics,for his discovery of the wave nature of electrons
1929,Physiology or Medicine,for his discovery of the antineuritic vitamin
1929,Physiology or Medicine,for his discovery of the growth-stimulating vitamins
1930,Chemistry,for his researches into the constitution of haemin and chlorophyll and especially for his synthesis of haemin
1930,Literature,"for his vigorous and graphic art of description and his ability to create, with wit and humour, new types of characters"
1930,Peace,for promoting Christian unity and helping create 'that new attitude of mind which is necessary if peace between nations is to become reality'
1930,Physics,for his work on the scattering of light and for the discovery of the effect named after him
1930,Physiology or Medicine,for his discovery of human blood groups
1931,Chemistry,in recognition of their contributions to the invention and development of chemical high pressure methods
1931,Chemistry,in recognition of their contributions to the invention and development of chemical high pressure methods
1931,Literature,The poetry of Erik Axel Karlfeldt
1931,Peace,for their assiduous effort to revive the ideal of peace and to rekindle the spirit of peace in their own nation and in the whole of mankind
1931,Peace,for their assiduous effort to revive the ideal of peace and to rekindle the spirit of peace in their own nation and in the whole of mankind
1931,Physiology or Medicine,for his discovery of the nature and mode of action of the respiratory enzyme
1932,Chemistry,for his discoveries and investigations in surface chemistry
1932,Literature,for his distinguished art of narration which takes its highest form in <I>The Forsyte Saga</I>
1932,Physics,"for the creation of quantum mechanics, the application of which has, inter alia, led to the discovery of the allotropic forms of hydrogen"
1932,Physiology or Medicine,for their discoveries regarding the functions of neurons
1932,Physiology or Medicine,for their discoveries regarding the functions of neurons
1933,Literature,for the strict artistry with which he has carried on the classical Russian traditions in prose writing
1933,Peace,for having exposed by his pen the illusion of war and presented a convincing plea for international cooperation and peace
1933,Physics,for the discovery of new productive forms of atomic theory
1933,Physics,for the discovery of new productive forms of atomic theory
1933,Physiology or Medicine,for his discoveries concerning the role played by the chromosome in heredity
1934,Chemistry,for his discovery of heavy hydrogen
1934,Literature,for his bold and ingenious revival of dramatic and scenic art
1934,Peace,for his untiring struggle and his courageous efforts as Chairman of the League of Nations Disarmament Conference 1931-34
1934,Physiology or Medicine,for their discoveries concerning liver therapy in cases of anaemia
1934,Physiology or Medicine,for their discoveries concerning liver therapy in cases of anaemia
1934,Physiology or Medicine,for their discoveries concerning liver therapy in cases of anaemia
1935,Chemistry,in recognition of their synthesis of new radioactive elements
1935,Chemistry,in recognition of their synthesis of new radioactive elements
1935,Peace,for his burning love for freedom of thought and expression and his valuable contribution to the cause of peace
1935,Physics,for the discovery of the neutron
1935,Physiology or Medicine,for his discovery of the organizer effect in embryonic development
1936,Chemistry,for his contributions to our knowledge of molecular structure through his investigations on dipole moments and on the diffraction of X-rays and electrons in gases
1936,Literature,"for the power, honesty and deep-felt emotions of his dramatic works, which embody an original concept of tragedy"
1936,Peace,"for his role as father of the Argentine Antiwar Pact of 1933, which he also used as a means to mediate peace between Paraguay and Bolivia in 1935"
1936,Physics,for his discovery of cosmic radiation
1936,Physics,for his discovery of the positron
1936,Physiology or Medicine,for their discoveries relating to chemical transmission of nerve impulses
1936,Physiology or Medicine,for their discoveries relating to chemical transmission of nerve impulses
1937,Chemistry,for his investigations on carbohydrates and vitamin C
1937,Chemistry,"for his investigations on carotenoids, flavins and vitamins A and B2"
1937,Literature,for the artistic power and truth with which he has depicted human conflict as well as some fundamental aspects of contemporary life in his novel-cycle <I>Les Thibault</I>
1937,Peace,"for his tireless effort in support of the League of Nations, disarmament and peace"
1937,Physics,for their experimental discovery of the diffraction of electrons by crystals
1937,Physics,for their experimental discovery of the diffraction of electrons by crystals
1937,Physiology or Medicine,"for his discoveries in connection with the biological combustion processes, with special reference to vitamin C and the catalysis of fumaric acid"
1938,Chemistry,for his work on carotenoids and vitamins
1938,Literature,for her rich and truly epic descriptions of peasant life in China and for her biographical masterpieces
1938,Peace,for having carried on the work of Fridtjof Nansen to the benefit of refugees across Europe
1938,Physics,"for his demonstrations of the existence of new radioactive elements produced by neutron irradiation, and for his related discovery of nuclear reactions brought about by slow neutrons"
1938,Physiology or Medicine,for the discovery of the role played by the sinus and aortic mechanisms in the regulation of respiration
1939,Chemistry,for his work on sex hormones
1939,Chemistry,for his work on polymethylenes and higher terpenes
1939,Literature,for his deep understanding of his country's peasantry and the exquisite art with which he has portrayed their way of life and their relationship with Nature
1939,Physics,"for the invention and development of the cyclotron and for results obtained with it, especially with regard to artificial radioactive elements"
1939,Physiology or Medicine,for the discovery of the antibacterial effects of prontosil
1943,Chemistry,for his work on the use of isotopes as tracers in the study of chemical processes
1943,Physics,for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton
1943,Physiology or Medicine,for his discovery of vitamin K
1943,Physiology or Medicine,for his discovery of the chemical nature of vitamin K
1944,Chemistry,for his discovery of the fission of heavy nuclei
1944,Literature,"for the rare strength and fertility of his poetic imagination with which is combined an intellectual curiosity of wide scope and a bold, freshly creative style"
1944,Peace,for the great work it has performed during the war on behalf of humanity
1944,Physics,for his resonance method for recording the magnetic properties of atomic nuclei
1944,Physiology or Medicine,for their discoveries relating to the highly differentiated functions of single nerve fibres
1944,Physiology or Medicine,for their discoveries relating to the highly differentiated functions of single nerve fibres
1945,Chemistry,"for his research and inventions in agricultural and nutrition chemistry, especially for his fodder preservation method"
1945,Literature,"for her lyric poetry which, inspired by powerful emotions, has made her name a symbol of the idealistic aspirations of the entire Latin American world"
1945,Peace,for his indefatigable work for international understanding and his pivotal role in establishing the United Nations
1945,Physics,"for the discovery of the Exclusion Principle, also called the Pauli Principle"
1945,Physiology or Medicine,for the discovery of penicillin and its curative effect in various infectious diseases
1945,Physiology or Medicine,for the discovery of penicillin and its curative effect in various infectious diseases
1945,Physiology or Medicine,for the discovery of penicillin and its curative effect in various infectious diseases
1946,Chemistry,for his discovery that enzymes can be crystallized
1946,Chemistry,for their preparation of enzymes and virus proteins in a pure form
1946,Chemistry,for their preparation of enzymes and virus proteins in a pure form
1946,Literature,"for his inspired writings which, while growing in boldness and penetration, exemplify the classical humanitarian ideals and high qualities of style"
1946,Peace,for her lifelong work for the cause of peace
1946,Peace,for his contribution to the creation of a peace-promoting religious brotherhood across national boundaries
1946,Physics,"for the invention of an apparatus to produce extremely high pressures, and for the discoveries he made therewith in the field of high pressure physics"
1946,Physiology or Medicine,for the discovery of the production of mutations by means of X-ray irradiation
1947,Chemistry,"for his investigations on plant products of biological importance, especially the alkaloids"
1947,Literature,"for his comprehensive and artistically significant writings, in which human problems and conditions have been presented with a fearless love of truth and keen psychological insight"
1947,Peace,"for their pioneering work in the international peace movement and compassionate effort to relieve human suffering, thereby promoting the fraternity between nations"
1947,Peace,"for their pioneering work in the international peace movement and compassionate effort to relieve human suffering, thereby promoting the fraternity between nations"
1947,Physics,for his investigations of the physics of the upper atmosphere especially for the discovery of the so-called Appleton layer
1947,Physiology or Medicine,for their discovery of the course of the catalytic conversion of glycogen
1947,Physiology or Medicine,for their discovery of the course of the catalytic conversion of glycogen
1947,Physiology or Medicine,for his discovery of the part played by the hormone of the anterior pituitary lobe in the metabolism of sugar
1948,Chemistry,"for his research on electrophoresis and adsorption analysis, especially for his discoveries concerning the complex nature of the serum proteins"
1948,Literature,"for his outstanding, pioneer contribution to present-day poetry"
1948,Physics,"for his development of the Wilson cloud chamber method, and his discoveries therewith in the fields of nuclear physics and cosmic radiation"
1948,Physiology or Medicine,for his discovery of the high efficiency of DDT as a contact poison against several arthropods
1949,Chemistry,"for his contributions in the field of chemical thermodynamics, particularly concerning the behaviour of substances at extremely low temperatures"
1949,Literature,for his powerful and artistically unique contribution to the modern American novel
1949,Peace,"for his lifelong effort to conquer hunger and want, thereby helping to remove a major cause of military conflict and war"
1949,Physics,for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces
1949,Physiology or Medicine,for his discovery of the functional organization of the interbrain as a coordinator of the activities of the internal organs
1949,Physiology or Medicine,for his discovery of the therapeutic value of leucotomy in certain psychoses
1950,Chemistry,for their discovery and development of the diene synthesis
1950,Chemistry,for their discovery and development of the diene synthesis
1950,Literature,in recognition of his varied and significant writings in which he champions humanitarian ideals and freedom of thought
1950,Peace,for his work as mediator in Palestine in 1948-1949
1950,Physics,for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method
1950,Physiology or Medicine,"for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects"
1950,Physiology or Medicine,"for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects"
1950,Physiology or Medicine,"for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects"
1951,Chemistry,for their discoveries in the chemistry of the transuranium elements
1951,Chemistry,for their discoveries in the chemistry of the transuranium elements
1951,Literature,for the artistic vigour and true independence of mind with which he endeavours in his poetry to find answers to the eternal questions confronting mankind
1951,Peace,for having devoted his life to the fight against war through the promotion of social justice and brotherhood among men and nations
1951,Physics,for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles
1951,Physics,for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles
1951,Physiology or Medicine,for his discoveries concerning yellow fever and how to combat it
1952,Chemistry,for their invention of partition chromatography
1952,Chemistry,for their invention of partition chromatography
1952,Literature,for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life
1952,Peace,"for his altruism, reverence for life, and tireless humanitarian work which has helped making the idea of brotherhood between men and nations a living one"
1952,Physics,for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith
1952,Physics,for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith
1952,Physiology or Medicine,"for his discovery of streptomycin, the first antibiotic effective against tuberculosis"
1953,Chemistry,for his discoveries in the field of macromolecular chemistry
1953,Literature,for his mastery of historical and biographical description as well as for brilliant oratory in defending exalted human values
1953,Peace,for proposing and supervising the plan for the economic recovery of Europe
1953,Physics,"for his demonstration of the phase contrast method, especially for his invention of the phase contrast microscope"
1953,Physiology or Medicine,for his discovery of the citric acid cycle
1953,Physiology or Medicine,for his discovery of co-enzyme A and its importance for intermediary metabolism
1954,Chemistry,for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances
1954,Literature,"for his mastery of the art of narrative, most recently demonstrated in <I>The Old Man and the Sea,</I> and for the influence that he has exerted on contemporary style"
1954,Peace,for its efforts to heal the wounds of war by providing help and protection to refugees all over the world
1954,Physics,"for his fundamental research in quantum mechanics, especially for his statistical interpretation of the wavefunction"
1954,Physics,for the coincidence method and his discoveries made therewith
1954,Physiology or Medicine,for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue
1954,Physiology or Medicine,for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue
1954,Physiology or Medicine,for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue
1955,Chemistry,"for his work on biochemically important sulphur compounds, especially for the first synthesis of a polypeptide hormone"
1955,Literature,for his vivid epic power which has renewed the great narrative art of Iceland
1955,Physics,for his discoveries concerning the fine structure of the hydrogen spectrum
1955,Physics,for his precision determination of the magnetic moment of the electron
1955,Physiology or Medicine,for his discoveries concerning the nature and mode of action of oxidation enzymes
1956,Chemistry,for their researches into the mechanism of chemical reactions
1956,Chemistry,for their researches into the mechanism of chemical reactions
1956,Literature,"for his lyrical poetry, which in Spanish language constitutes an example of high spirit and artistical purity"
1956,Physics,for their researches on semiconductors and their discovery of the transistor effect
1956,Physics,for their researches on semiconductors and their discovery of the transistor effect
1956,Physics,for their researches on semiconductors and their discovery of the transistor effect
1956,Physiology or Medicine,for their discoveries concerning heart catheterization and pathological changes in the circulatory system
1956,Physiology or Medicine,for their discoveries concerning heart catheterization and pathological changes in the circulatory system
1956,Physiology or Medicine,for their discoveries concerning heart catheterization and pathological changes in the circulatory system
1957,Chemistry,for his work on nucleotides and nucleotide co-enzymes
1957,Literature,"for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times"
1957,Peace,for his crucial contribution to the deployment of a United Nations Emergency Force in the wake of the Suez Crisis
1957,Physics,for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles
1957,Physics,for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles
1957,Physiology or Medicine,"for his discoveries relating to synthetic compounds that inhibit the action of certain body substances, and especially their action on the vascular system and the skeletal muscles"
1958,Chemistry,"for his work on the structure of proteins, especially that of insulin"
1958,Literature,for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition
1958,Peace,for his efforts to help refugees to leave their camps and return to a life of freedom and dignity
1958,Physics,for the discovery and the interpretation of the Cherenkov effect
1958,Physics,for the discovery and the interpretation of the Cherenkov effect
1958,Physics,for the discovery and the interpretation of the Cherenkov effect
1958,Physiology or Medicine,for their discovery that genes act by regulating definite chemical events
1958,Physiology or Medicine,for their discovery that genes act by regulating definite chemical events
1958,Physiology or Medicine,for his discoveries concerning genetic recombination and the organization of the genetic material of bacteria
1959,Chemistry,for his discovery and development of the polarographic methods of analysis
1959,Literature,"for his lyrical poetry, which with classical fire expresses the tragic experience of life in our own times"
1959,Peace,for his longstanding contribution to the cause of disarmament and peace
1959,Physics,for their discovery of the antiproton
1959,Physics,for their discovery of the antiproton
1959,Physiology or Medicine,for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid
1959,Physiology or Medicine,for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid
1960,Chemistry,"for his method to use carbon-14 for age determination in archaeology, geology, geophysics, and other branches of science"
1960,Literature,for the soaring flight and the evocative imagery of his poetry which in a visionary fashion reflects the conditions of our time
1960,Peace,for his non-violent struggle against apartheid
1960,Physics,for the invention of the bubble chamber
1960,Physiology or Medicine,for discovery of acquired immunological tolerance
1960,Physiology or Medicine,for discovery of acquired immunological tolerance
1961,Chemistry,for his research on the carbon dioxide assimilation in plants
1961,Literature,for the epic force with which he has traced themes and depicted human destinies drawn from the history of his country
1961,Peace,"for developing the UN into an effective and constructive international organization, capable of giving life to the principles and aims expressed in the UN Charter"
1961,Physics,for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons
1961,Physics,for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name
1961,Physiology or Medicine,for his discoveries of the physical mechanism of stimulation within the cochlea
1962,Chemistry,for their studies of the structures of globular proteins
1962,Chemistry,for their studies of the structures of globular proteins
1962,Literature,"for his realistic and imaginative writings, combining as they do sympathetic humour and keen social perception"
1962,Peace,for his fight against the nuclear arms race between East and West
1962,Physics,"for his pioneering theories for condensed matter, especially liquid helium"
1962,Physiology or Medicine,for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material
1962,Physiology or Medicine,for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material
1962,Physiology or Medicine,for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material
1963,Chemistry,for their discoveries in the field of the chemistry and technology of high polymers
1963,Chemistry,for their discoveries in the field of the chemistry and technology of high polymers
1963,Literature,"for his eminent lyrical writing, inspired by a deep feeling for the Hellenic world of culture"
1963,Peace,for promoting the principles of the Geneva Convention and cooperation with the UN
1963,Peace,for promoting the principles of the Geneva Convention and cooperation with the UN
1963,Physics,"for his contributions to the theory of the atomic nucleus and the elementary particles, particularly through the discovery and application of fundamental symmetry principles"
1963,Physics,for their discoveries concerning nuclear shell structure
1963,Physics,for their discoveries concerning nuclear shell structure
1963,Physiology or Medicine,for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane
1963,Physiology or Medicine,for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane
