year,number-of-laureates,motivation
1979,2,for the development of computer assisted tomography
1980,3,for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions
1981,3,for his discoveries concerning the functional specialization of the cerebral hemispheres
1982,3,for their discoveries concerning prostaglandins and related biologically active substances
1983,1,for her discovery of mobile genetic elements
1984,3,for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies
1985,2,for their discoveries concerning the regulation of cholesterol metabolism
1986,2,for their discoveries of growth factors
1987,1,for his discovery of the genetic principle for generation of antibody diversity
1988,3,for their discoveries of important principles for drug treatment
1989,2,for their discovery of the cellular origin of retroviral oncogenes
1990,2,for their discoveries concerning organ and cell transplantation in the treatment of human disease
1991,2,for their discoveries concerning the function of single ion channels in cells
1992,2,for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism
1993,2,for their discoveries of split genes
1994,2,for their discovery of G-proteins and the role of these proteins in signal transduction in cells
1995,3,for their discoveries concerning the genetic control of early embryonic development
1996,2,for their discoveries concerning the specificity of the cell mediated immune defence
1997,1,for his discovery of Prions - a new biological principle of infection
1998,3,for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system
1999,1,for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell
2000,3,for their discoveries concerning signal transduction in the nervous system
2001,3,for their discoveries of key regulators of the cell cycle
2002,3,for their discoveries concerning genetic regulation of organ development and programmed cell death'
2003,2,for their discoveries concerning magnetic resonance imaging
2004,2,for their discoveries of odorant receptors and the organization of the olfactory system
2005,2,for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease
2006,2,for their discovery of RNA interference - gene silencing by double-stranded RNA
2007,3,for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells
2008,3,for his discovery of human papilloma viruses causing cervical cancer
2009,3,for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase
2010,1,for the development of in vitro fertilization
2011,3,for their discoveries concerning the activation of innate immunity
2012,2,for the discovery that mature cells can be reprogrammed to become pluripotent
2013,3,"for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells"
2014,3,for their discoveries of cells that constitute a positioning system in the brain
2015,3,for their discoveries concerning a novel therapy against infections caused by roundworm parasites
2016,1,for his discoveries of mechanisms for autophagy
2017,3,for their discoveries of molecular mechanisms controlling the circadian rhythm
2018,2,for their discovery of cancer therapy by inhibition of negative immune regulation
2019,3,for their discoveries of how cells sense and adapt to oxygen availability
2020,3,for the discovery of Hepatitis C virus
2021,2,for their discoveries of receptors for temperature and touch
2022,1,for his discoveries concerning the genomes of extinct hominins and human evolution
2023,2,for their discoveries concerning nucleoside base modifications that enabled the development of effective mRNA vaccines against COVID-19
